name;year;battle_number;attacker_king;defender_king;attacker_1;attacker_2;attacker_3;attacker_4;defender_1;defender_2;defender_3;defender_4;attacker_outcome;battle_type;major_death;major_capture;attacker_size;defender_size;attacker_commander;defender_commander;summer;location;Lat;Lng;region;note
Battle of Torrhen's Square;299;11;Robb Stark;Balon/Euron Greyjoy;Stark;;;;Greyjoy;;;;win;pitched battle;0;0;244;900;Rodrik Cassel, Cley Cerwyn;Dagmer Cleftjaw;1;Torrhen's Square;24.59209;11.82129;The North;Rodrik knows the land intimately, while Dagmer does not. Rodrik leads the gathered northmen to victory. The ironborn are not disciplined enough to stand a charge by mounted horsemen and their shield wall breaks. Dagmer leads the remnants of his force back to the Stony Shore. With Winterfell's levies away at Torrhen's Square, Theon Greyjoy is able to capture the undefended Winterfell. After defeating Dagmer's attack on Torrhen's Square, Rodrik redirects his levies to retake Winterfell from Theon and his ironborn. However, Ramsay Snow and the Boltons betray Rodrik's army in a battle at Winterfell, during which Leobald, Rodrik, and Cley are slain. Dagmer then returns to Torrhen's Square and is able to capture the lightly-defended castle.
Battle of Winterfell;299;12;Balon/Euron Greyjoy;Robb Stark;Greyjoy;;;;Stark;;;;win;ambush;0;1;20;;Theon Greyjoy;Bran Stark;1;Winterfell;26.62291;14.55139;The North;"Ser Rodrik Cassel and Theon Greyjoy parley in the winter town's market outside the gates of Winterfell. Rodrik demands the ironborn surrender Winterfell, and he promises safe passage for all who were not involved in the murder of children. Theon counters by having a noose put around the neck of Rodrik's daughter, Beth Cassel, and promises to hang her at dusk if he does not retreat, and he will continue to hang hostages at every dawn and dusk until they leave. The parley accomplishes nothing other than terms being given. Later as the sun sets, a force of roughly 600 Boltons from the Dreadfort arrives and meets Rodrik's Stark army. Believing the Dreadfort men to be reinforcements, Rodrik offers his hand in greeting to their helmeted leader. However, the man takes Rodrik's arm off at the elbow and reveals his identity as that of Ramsay Snow, the Bastard of Lord Bolton. Rodrik thought he had previously killed Ramsay for his crimes against House Hornwood, but Ramsay had actually switched clothing with his now-deceased serving man, Reek. Although outnumbered, the Bolton force under Ramsay attacks the Stark army, leading to fighting in the streets of the winter town. From atop Winterfell's battlements, Theon, Maester Luwin, and Black Lorren watch the Dreadfort men repeatedly wheel and charge the Stark soldiers, preventing them from forming up between the town's burning houses. Cley Cerwyn is killed by an arrow to the eye, and Leobald Tallhart dies as well. While the Stark army is routed and dispersed, Ramsay loses only twenty or thirty of the Dreadfort men. As the battle winds down, Theon admits Ramsay into Winterfell, and Theon recognizes him as ""Reek"", who had brought back the Dreadfort's garrison, although Rodrik had slain Reek-disguised-as-Ramsay in the Hornwood. The Bolton men cut down the ironmen, sack the castle, and attack its servants, such as Maester Luwin. Although the battle at Winterfell is not especially bloody, the hold of House Stark on the north is shattered. Most of Ser Rodrik Cassel's leaders are killed, but a good many of his common soldiers escape and return to their villages and holdfasts. However, their accounts of what happened vary. According to Ramsay Snow, Theon Greyjoy cut down Rodrik during a parley. At the Twins prior to the Red Wedding, Lord Roose Bolton tells Robb Stark, the King in the North, that his son Ramsay successfully rallied the northmen after Theon's ironmen cut down Rodrik and Leobald Tallhart. Wex Pyke indicates to Lord Wyman Manderly and Robett Glover that Ramsay's claims are false. After the fight by Deepwood Motte, Stannis Baratheon's army is joined by Cerwyns, Hornwoods, and Tallharts who survived the battle outside the gates of Winterfell."
Sack of Torrhen's Square;299;13;Balon/Euron Greyjoy;Balon/Euron Greyjoy;Greyjoy;;;;Stark;;;;win;siege;0;1;;;Dagmer Cleftjaw;;1;Torrhen's Square;24.59209;11.82129;The North;Sack of Torrhen's Square
Sack of Winterfell;299;14;Joffrey/Tommen Baratheon;Robb Stark;Bolton;Greyjoy;;;Stark;;;;win;ambush;1;0;618;2000;Ramsay Snow, Theon Greyjoy ;Rodrik Cassel, Cley Cerwyn, Leobald Tallhart;1;Winterfell;26.62291;14.55139;The North;"After the battle ends, a group of Dreadfort riders approaches Winterfell's main gate. Their leader, whom Theon Greyjoy dubs ""Red Helm"" because of his fine armor, has the bodies of Rodrik Cassel, Cley Cerwyn, and Leobald Tallhart dropped. Theon then allows the Dreadfort men to pass Winterfell's moat and inner gate. Theon recognizes Red Helm to be Reek when he removes his helm, but he is actually Ramsay Snow, the Bastard of Bolton. When Theon balks at relinquishing his bedwarmer Kyra, Ramsay strikes Theon and the Bolton men begin to kill the ironborn, including Red Rolfe, Kenned, and Ulf the Ill, although Black Lorren is able to kill a few Boltons before he too falls. Maester Luwin is speared and ridden over. Ramsay orders his men to spare the wards from House Frey, Big Walder and Little Walder, and orders his men to burn Winterfell. Unbeknownst to Theon and Ramsay, hiding in the crypts of Winterfell are Bran and Rickon Stark, Meera and Jojen Reed, Hodor, and Osha. The direwolves Summer and Shaggydog, who are outside of Winterfell, smell the blood and burnt flesh from the battle and ensuing sack, and they hear the Boltons attack the defenseless people of Winterfell and burn its buildings. The next morning the direwolves find only wild dogs, dead bodies, and dying horses amidst the burning winter town. When Bran and his companions leave Winterfell's crypt that morning, they find that one side of the First Keep has fallen away and its interior is burnt. Winterfell's previously broken tower remains standing, however. After being joined by Summer and Shaggydog, they reconnoiter Winterfell. Its granite walls still stand, though somewhat blackened by fire, but the interior is heavily damaged. The Great Hall's roof has collapsed, fires are visible in its cellar and a storehouse, and the glass gardens are destroyed. The stables have burned along with the horses, such as Dancer and Smiler, while most of the hounds were slain in the kennels. Water from Winterfell's hot springs leaks from the Library Tower. The bridge between the Bell Tower and the rookery has collapsed, while Luwin's turret is destroyed. The sept built by Lord Eddard Stark for Lady Catelyn Tully is burned. The iron portcullis at the Hunter's Gate has been warped by heat. They find Luwin dying in the godswood, which is mostly unscathed. The group separates after Osha gives Luwin the gift of mercy. As Bran leaves Winterfell, he believes that the castle will survive despite the destruction."
Battle of Oxcross;299;15;Robb Stark;Joffrey/Tommen Baratheon;Stark;Tully;;;Lannister;;;;win;ambush;1;1;6000;10000;Robb Stark, Brynden Tully;Stafford Lannister, Roland Crakehall, Antario Jast;1;Oxcross;5.97122;8.15735;The Westerlands;Robb's host avoids the strong castles at the border and invades the westerlands through a previously unknown path, which is found by his direwolf, Grey Wind. Stafford trains the inexperienced recruits near the village of Oxcross, within three days ride from Lannisport. Thinking himself safe in his own lands, Stafford does not bother to set sentries. During the night, Robb sends men to cut the lines that hold Stafford's horses. When Robb sets loose Grey Wind, the horses are maddened by the scent and trample tents and men alike while trying to flee. With confusion sending Lannister men fleeing everywhere, Robb sends his own cavalry. The battle is more a rout then a real encounter, as the untrained and surprised Lannister army fail to put up much resistance. Stafford is slain by Lord Rickard Karstark while running after his horse. Ser Stevron Frey, Lord Walder Frey's eldest son and heir, suffers a minor wound during the battle, but dies shortly thereafter. Among those reported dead, missing and wounded are Ser Lymond Vikary, Lord Roland Crakehall, and Lord Antario Jast. These men are actually captured by the Stark forces, along with Martyn Lannister, Lord Jast's sons, and half a hundred other highborn hostages.
Siege of Storm's End;299;16;Stannis Baratheon;Renly Baratheon;Baratheon;;;;Baratheon;;;;win;siege;1;0;5000;20000;Stannis Baratheon, Davos Seaworth;Renly Baratheon, Cortnay Penrose, Loras Tyrell, Randyll Tarly, Mathis Rowan;1;Storm's End;-0.67015;22.71423;The Stormlands;"Stannis arrives in the stormlands with five thousand men and lays siege to the coastal fortress Storm's End, Renly's seat. Renly is at Bitterbridge with his army when the news reaches his camp. He splits his forces and rides with some twenty thousand cavalry to Storm's End to break the siege. He confronts Stannis during a parlay, with Lady Catelyn Stark in attendance, during which he offers Stannis a peach, but the two brothers are unable to set aside their differences. Neither will yield; Instead, they agree that a battle is set to start at dawn the next day. However, shortly before the battle is to start, while being armored for battle by Brienne of Tarth, Renly is killed by a shadow assassin summoned by Melisandre. Ser Emmon Cuy and Ser Robar Royce, who had been guarding the king's tent, accuse Brienne of the murder when they see Renly dead in Brienne's arms. Catelyn Stark, who had witnessed Renly's death, convinces Ser Robar that Brienne is innocent. Escaping Ser Emmon, Catelyn and Brienne flee the camp and head for the riverlands. A raging Ser Loras Tyrell later kills Ser Emmon Cuy and Ser Robar Royce for failing to protect their king. Melisandre of Asshai births a shadow baby. With Renly dead, the majority of the host that had accompanied him to Storm's End swears their allegiance to Stannis. House Florent and both branches of House Fossoway also defect to Stannis, but a fifth of Renly's knights returns to Bitterbridge with Ser Loras Tyrell. First to join Stannis is Lord Alester Florent, the uncle of Stannis's queen, Selyse. The siege continues as Storm's End's castellan, Ser Cortnay Penrose, refuses to yield the castle to Stannis because he fears for the safety of King Robert I's bastard son Edric Storm. During a parley beneath the walls, Cortnay offers single combat with a champion of Stannis's choosing, but is rebuffed by the king. In order to coerce Ser Cortnay, several ideas are proposed, among them storming the castle, leaving a force to mount a protracted siege, or threatening to kill Cortnay's father, Lord Penrose. Stannis refuses all of these suggestions. Instead, he turns to Davos Seaworth. To end the siege quickly, Davos smuggles Melisandre under the castle by boat, where he witnesses her giving birth to another shadow, who assassinates Cortnay. Although it is said that Cortnay threw himself from a tower, Varys, the master of whisperers from Joffrey's small council, correctly points out that Cortnay had not seemed lost to despair. Lord Elwood Meadows, who becomes castellan after Cortnay, surrenders the castle to Stannis."
Battle of the Fords;299;17;Joffrey/Tommen Baratheon;Robb Stark;Lannister;;;;Tully;;;;loss;pitched battle;0;0;20000;10000;Tywin Lannister, Flement Brax, Gregor Clegane, Addam Marbrand, Lyle Crakehall, Leo Lefford;Edmure Tully, Jason Mallister, Karyl Vance;1;Red Fork;10.31492;14.9469;The Riverlands;Ser Edmure Tully organized his forces so that every crossing both north and south of Riverrun was defended by a strong force. Lord Jason Mallister was commanded with the defense of four fords, while Lord Karyl Vance commanded the defense of fords to the north of Riverrun. The west bank of the Red Fork is higher than the east and wooded. The defenders used those trees to hide archers and placed scorpions as support. Ser Edmure kept his best knights as a reserve, to ride where they were needed most. Initially Lord Tywin probed the defenses, attempting to find an unguarded ford. Ser Flement Brax was sent south to attempt a breach there, and there was also fighting to the north of Riverrun. After two days of skirmishing, Lord Tywin attempted to force a crossing in a dozen places. The most heated battle was at Stone Mill, where Edmure faces Gregor Clegane. Although Clegane and his men managed to gain the west bank, they suffered terrible losses. Edmure turned back Clegane and his men with his reserve. Clegane is wounded by a dozen arrows. Elsewhere, Ser Addam Marbrand was thrown back three times, Lord Leo Lefford drowned, Robert Brax is killed, and Ser Lyle Crakehall is taken captive. Unable to cross the river, Tywin is forced to retreat. At the end of the day, Tywin's army was seen marching south-east.
Sack of Harrenhal;299;18;Robb Stark;Joffrey/Tommen Baratheon;Stark;;;;Lannister;;;;win;ambush;1;0;100;100;Roose Bolton, Vargo Hoat, Robett Glover;Amory Lorch;1;Harrenhal;8.31478;16.88599;The Riverlands;Vargo returns to Harrenhal with at least one hundred captives—led by Robett Glover and Aenys Frey and including men from Houses Bolton, Cerwyn, Frey, Glover, and Karstark—claiming to have beaten Roose when he tried to cross the Trident. The incognito Arya Stark, seeing an opportunity, blackmails Jaqen H'ghar into helping her free the northern prisoners in the Widow's Tower, and Jaqen enlists the aid of Rorge and Biter. Under the pretense of bringing onion soup to a group of Amory's guards, the four kill the guards and free the northern prisoners. Unknown to Ser Amory Lorch and independently of Arya and Jaqen, Vargo Hoat had previously approached Roose's encampment and struck a deal to turn over the castle to the Starks. While the freed northmen and rivermen are escaping, the Brave Companions simultaneously turn on their former Lannister allies, killing them in their beds or while they are celebrating in the Barracks Hall.
Battle of the Crag;299;19;Robb Stark;Joffrey/Tommen Baratheon;Stark;;;;Lannister;;;;win;ambush;0;0;6000;;Robb Stark, Smalljon Umber, Black Walder Frey;Rolph Spicer;1;Crag;8.86879;8.41553;The Westerlands;The Crag is stormed at night. While Smalljon Umber and Black Walder Frey lead scaling parties over the walls, Robb breaks through the main gate with a ram but takes an arrow wound. Grey Wind, Robb's direwolf, kills a man during the assault. Robb is nursed back to health by Jeyne Westerling. After hearing of the supposed deaths at Winterfell of his brothers, Bran and Rickon, Robb deflowers Jeyne, and, to spare her dishonor, marries her shortly thereafter. As a consequence of that the Westerlings join with House Stark. However, by marrying Jeyne, Robb breaks his alliance with House Frey.
Battle of the Blackwater;299;20;Stannis Baratheon;Joffrey/Tommen Baratheon;Baratheon;;;;Lannister;;;;loss;pitched battle;1;1;21000;7250;Stannis Baratheon, Imry Florent, Guyard Morrigen, Rolland Storm, Salladhor Saan, Davos Seaworth;Tyrion Lannister, Jacelyn Bywater, Sandor Clegane, Tywin Lannister, Garlan Tyrell, Mace Tyrell, Randyll Tarly;1;King's Landing;3.95742;19.06677;The Crownlands;he battle opens when Stannis's admiral, Ser Imry Florent, leads Stannis' fleet up the river to engage Joffrey's ships. They enter visual range of the city in the late afternoon. Confident of his superior numbers, and knowing that the fleet of King's Landing cannot hope to contest them, Ser Imry does not send scouts ahead, and attacks immediately, leaving the Lysene galleys of Salladhor Saan as rearguard out in Blackwater Bay. The fleet is organized into ten battle lines composed of twenty ships each. The first three lines are made up of war galleys belonging to the royal navy and the lords of the narrow sea. Behind them sails the smaller Myrish contingent, who are to land troops to attack the city, before joining the first three lines in battle. The smaller and slower sailed ships are to ferry Stannis's host. Ser Davos Seaworth realizes that the two watchtowers at the mouth of the Blackwater Rush are newly build, and he notices the chain in the water. The fleet continues forward nonetheless. From within the city, pots of pitch are flung at the ships, and the trebuchets located within the city start to fling stones. Tyrion Lannister has ordered several of Joffrey's ships to be filled with wildfire. Stannis' fleet is lured further in the bay when Joffrey's pull back. When they engage the fleet of King's Landing, the ships and the river are soon afire. The wildfire destroys nearly every ship in both fleets. To their horror, the men on Stannis' ship discover that the great chain has been raised behind them, cutting off their retreat.[8] However, as Ser Imry's first two battle lines had been well upstream of the fire when the hulks went up, some thirty or forty galleys are able to escape the inferno at first. Eight ships manage to land under the city walls and put men ashore, while many of the Myrmen escape the flames by sailing for the south bank. The city itself is defended by some five thousand seven hundred gold cloaks,[N 7] leavened with eight hundred mercenaries and three hundred knights, squires, and men-at-arms from the court and the surrounding crownlands. As acting Hand of the King, command of the defense is taken by Tyrion Lannister. At the start of the battle, some small skirmishes arise within the city when some drunkards in Flea Bottom smash doors and climb into houses. Lord Jacelyn Bywater sends his gold cloaks to deal with them. When rich merchants and such gather in the square before the Red Keep, asking for refuge in the castle, Queen Regent Cersei Lannister commands the gates be kept close. Tyrion tasks several groups of mounted men-at-arms, along with what few knights the city has, to harry Stannis's forces as they come ashore. Under the command of Sandor Clegane and Ser Balon Swann of the Kingsguard, they manage to help stem the tide, but as the battle drags on, they suffer grievous casualties. Tyrion and King Joffrey I Baratheon look on from the Mud Gate how the fleet goes up in flames. After King Joffrey leaves to shoot the Antler Men from the trebuchets, guarded by Ser Meryn Trant and Ser Osmund Kettleblack, Tyrion learns of Stannis' men having landed on the tourney grounds, who are preparing to ram the King's Gate. He arrives at the Mud Gate where Sandor Clegane, who had already led three sorties in which he has lost half his men, refuses to go out again. The wildfire raging across the river has robbed Clegane of his courage, and his refusal to lead any more sorties threatens to break the morale of the defenders. As they need to hold the river at all costs, Tyrion decides to lead the next sortie himself. Shamed into action by the dwarf's display of courage, several defenders gather to Tyrion's side. While Tyrion is leading the sortie at the King's Gate, the Mud Gate falls under attack as well. Queen Regent Cersei Lannister orders King Joffrey, who is still at the trebuchets near the gate, to be brought back to the castle. When the defenders see their king retire, their morale breaks and they begin throwing down their spears and flee by the hundreds, leaving the walls and killing their officers, including Ser Jacelyn Bywater, in the process. Tyrion manages to disperse the attackers at the King's Gate and makes for the Mud Gate. When Ser Balon Swann points out that the galleys on the river which had smashed into each other have tangled together, creating a bridge of ships, which is being used by Stannis' boldest knights to cross the river, they take the fight to the riverfront. Tyrion eventually finds himself on the bridge of ships, when it is about to collapse. He is severely wounded by Ser Mandon Moore of the Kingsguard, who had been Tyrion's sworn shield throughout the battle. Moore is killed by Tyrion's squire, Podrick Payne. With the bridge breaking up and their Hand lost in battle, the defenders retreat within the city walls. At this point, after only a few hours of resistance, the battle seems to be lost to Tyrion, though at this time he also sees Stannis's army seemingly fighting itself on the other side of the river.
Siege of Darry;299;21;Robb Stark;Joffrey/Tommen Baratheon;Darry;;;;Lannister;;;;win;siege;0;0;;;Helman Tallhart;;1;Darry;9.28646;17.39685;The Riverlands;Ser Helman Tallhart leads Tallhart men in a brief siege of Castle Darry that results in the surrender of the Lannister garrison. Darry is once again free of Lannister occupation. At Harrenhal, Lord Roose Bolton sends word to Ser Helman to put the castle to the torch and the Lannister captives to the sword in the name of King Robb Stark. Helman is to then join forces with Robett Glover and attack Duskendale. Following the Battle of the Blackwater, the Iron Throne grants Darry to Ser Lancel Lannister. At the end of the War of the Five Kings, the Lannisters claim the Darry lands and marry Lancel to Amerei Frey, the daughter of Mariya Darry.
Battle of Duskendale;299;22;Robb Stark;Joffrey/Tommen Baratheon;Stark;;;;Lannister;;;;loss;pitched battle;1;0;3000;;Robertt Glover, Helman Tallhart;Randyll Tarly, Gregor Clegane;1;Duskendale;5.81822;20.91248;The Crownlands;Northern participants include Houses Cerwyn, Glover, Hornwood, Karstark, and Tallhart. The army loyal to House Baratheon of King's Landing includes men from the Reach, the stormlands, and the westerlands. Named participants include Houses Tarly, Leygood, Ambrose, Fossoway of Cider Hall, Fossoway of New Barrel, and Tarly. Lord Randyll Tarly catches Robett Glover outside of Duskendale and traps him against Blackwater Bay. Ser Helman Tallhart is killed during the fierce battle, which takes places in the fields and farms outside Duskendale. There are heavy losses on both sides, including possibly a thousand dead northmen. As Robett falls back toward Harrenhal he encounters Ser Gregor Clegane near the kingsroad, and the northern host is broken.
Battle of the Burning Septry;299;23;;;Brotherhood without Banners;;;;Brave Companions;;;;win;pitched battle;0;0;;;;;1;;;;The Riverlands;No data on this battle
Battle of the Ruby Ford;299;24;Joffrey/Tommen Baratheon;Robb Stark;Lannister;;;;Stark;;;;win;pitched battle;0;0;;6000;Gregor Clegane;Roose Bolton, Wylis Manderly;;Ruby Ford;9.69281;17.06726;The Riverlands;No data on this battle
Retaking of Harrenhal;299;25;Joffrey/Tommen Baratheon;;Lannister;;;;Brave Companions;;;;win;pitched battle;1;0;;;Gregor Clegane;Vargo Hoat;1;Harrenhal;8.31478;16.88599;The Riverlands;With the rivermen defeated in the battle under the walls of Riverrun, Lord Tywin Lannister and Ser Kevan Lannister march on the various castles of the riverlands. After controlling the kingsroad, Tywin heads to Harrenhal, with his men burning the land while they march north. Lady Shella Whent surrenders her great castle to the Lannisters because she lacks the men to hold it.
The Red Wedding;299;26;Joffrey/Tommen Baratheon;Robb Stark;Frey;Bolton;;;Stark;;;;win;ambush;1;1;3500;3500;Walder Frey, Roose Bolton, Walder Rivers;Robb Stark;1;The Twins;14.47192;13.27698;The Riverlands;"After Edmure weds Roslin, Lord Walder hosts a feast for the highborn in one of his castles, while a ""bastard feast"" for lesser ranks is held in the second castle. Performed songs include ""Alysanne"", ""Flowers of Spring"", ""Iron Lances"", and ""The Queen Took Off Her Sandal, the King Took Off His Crown"". A drunken Greatjon Umber bellows ""The Bear and the Maiden Fair"". Robb dances with Roslin, several other Freys, and Dacey Mormont. Several poor dishes are served, the most appetizing being pink lamb. Roose toasts Walder's grandsons, Big Walder and Little Walder, who are in the care of Roose's son, Ramsay Snow, after the sack of Winterfell. As part of the bedding custom, Edmure and Roslin depart the hall in the company of many guests of the opposite gender. By using sellswords and knights at the feast disguised as musicians, and getting Robb's men too drunk to fight, Lord Walder Frey is able to coordinate a massacre with little loss to his own men. While the unknowing Edmure beds Roslin, the twin castles and the outlying camp are signalled when the band in Walder's hall begins playing ""The Rains of Castamere"". Few of the northmen in the hall have a chance to react, and most are butchered on the spot by the musicians' crossbows or Frey knives. Ser Ryman Frey leads Frey men-at-arms with longaxes. Mailed northmen in shaggy fur cloaks—Boltons and possibly Karstarks—join the Freys, and the betrayers kill many of Robb Stark's personal guard, including Smalljon Umber, Dacey Mormont, and Ser Wendel Manderly. Roose slays Robb, who was previously shot by arrows, with a thrust to the heart while stating that ""Jaime Lannister sends his regards.""Catelyn uses a knife to saw the neck of Lord Walder's grandson, the fool Jinglebell, after which Ser Raymund Frey slits Catelyn's throat. While the Starks are being slaughtered in the hall, the unknowing Edmure impregnates Roslin in a bedchamber.  Some guests who had accompanied them, such as the Greatjon, Patrek Mallister, and Ser Marq Piper, are overwhelmed and taken captive. Freys kill Grey Wind in the yard with crossbow quarrels, despite Ser Raynald Westerling's attempt to save the direwolf. In the camp outside the eastern castle, the three specially-rigged feast tents collapse and are set aflame with fire arrows during the slaughter, having been oiled earlier. While drunken northmen burn inside the tents, Bastard Walder Rivers leads armored Frey men-at-arms against Robb's men outside of the tents. Sandor defends Arya against three men, including Ser Garse Goodbrook and Ser Tytos Frey, and the Hound escapes with Arya after knocking the girl unconscious. Though no definitive count is known, most of Robb's men are killed or captured, while House Frey loses approximately fifty men in the camps. After the battle, the Freys hack and mutilate Robb's body and cut off his head along with that of Grey Wind. In a mockery of Robb's relationship with his direwolf, the Freys sew Grey Wind's head onto Robb's decapitated body and nail a crown atop the direwolf's head. Robb's bronze and iron crown is kept by Ryman Frey. Catelyn is thrown naked into the river in a mockery of House Tully funeral customs. Frey soldiers ride along the Green Fork in search of stray Stark survivors."
Siege of Seagard;299;27;Robb Stark;Joffrey/Tommen Baratheon;Frey;;;;Mallister;;;;win;siege;0;1;;;Walder Frey;Jason Mallister;1;Seagard;13.31479;13.15063;The Riverlands;"While the Freys are now supporters of King Joffrey I Baratheon, the Mallisters remain loyal to House Stark. ""Black"" Walder Frey commands a Frey siege of Seagard. Although Jason resists at first, he yields the castle when Black Walder threatens to hang Patrek before the walls of Seagard. House Mallister submits to the Iron Throne, but Lord Jason and Patrek are held captive by the Freys within Seagard."
Battle of Castle Black;300;28;Stannis Baratheon;Mance Rayder;Free folk;Thenns;Giants;;Night's Watch;Baratheon;;;loss;siege;1;1;100000;1240;Mance Rayder, Tormund Giantsbane, Harma Dogshead, Magnar Styr, Varamyr;Stannis Baratheon, Jon Snow, Donal Noye, Cotter Pyke;0;Castle Black;34.88142;18.85803;The North;"As part of Mance Rayder's plan, the Magnar of Thenn, Styr, along with his co-commander Jarl, and more than 200 of his Thenn warriors, is sent ahead to scale the Wall and take Castle Black by surprise from the rear. After crossing near Greyguard and circling south-east through the Gift, Jon Snow, a supposed defector assigned to Styr's raiding party, escapes at Queenscrown. Jon warns Mole's Town and Castle Black of the on-coming attack from the south. Many residents of Mole's Town flee to the castle, all of them helping prepare for the assault in some way. Donal Noye and Jon organize the defense around archers in the towers and a line of fighting men on the massive wooden staircase that zigzags up the south face of the Wall. ""Scarecrow sentinels"", dummy soldiers in Night's Watch black, are posted at roofs and windows to inflate their numbers. The battle begins in the early morning hours as wildling raiders and Thenn warriors storm Castle Black. Although the archers take a heavy toll on the wildling force (Jon Snow and Satin pouring boiling oil on Thenns who try to take their tower), the defenders at the gate through the Wall are overwhelmed when the Mole's Town men break and flee. The battle culminates on the stair as Styr attacks upward before trying to breach the gate. Once the majority of the wildling forces mount the stair and push back the crumbling defense, the Watch springs a desperate trap. The stair, soaked in oil between the last Night's Watch line of defense and the base of the structure, is set ablaze, destroying the stair and killing Styr and most of his men. Ygritte dies in Jon's arms. While the raiding party is defeated, Mance's main force has yet to be dealt with and the Watch's primary means of transporting men and materials to the top of the Wall is destroyed. With the news that his advance party has been defeated, and he must instead assault the Wall, Mance assembles his host beyond the tree line. After a small probing attack at night, the first morning's attacks are spearheaded by giants mounted on mammoths. Mag the Mighty, King of the Giants, manages to breach the massive doors that lead to the tunnel underneath the Wall. Donal Noye and several brothers defend the tunnel system with spears and arrow fire from behind the internal gate and murder-hole system built into the tunnel. While they manage to kill all of the attackers, including Mag, and hold the interior portcullis under the Wall, all the defenders are slain, including Donal, whose body is found crushed by Mag, and his sword thrust though the giant's neck. With the death of Donal Noye, Jon Snow assumes command of the defense of the Wall at the request of Maester Aemon. Over the next several days, Jon manages to throw back repeated attacks on the Wall by using catapults, archers, flaming arrows, boiling oils and finally frozen barrels of rock and ice used to destroy Mance's armored turtle. Ser Alliser Thorne, an enemy of Jon, and Lord Janos Slynt, a betrayer of Jon's father Eddard Stark, arrive along with reinforcements from Eastwatch-by-the-Sea. They take Jon into custody with the knowledge, from a captured Rattleshirt who led a diversion on the eastern side of the Wall, that he had deserted and joined forces with the wildlings. Either not believing him or not caring about his orders from Qhorin Halfhand to do just that, they imprison Jon in the ice cells under the Wall. Jon is eventually sent out to the wildling camp to treat with Mance, although Alliser and Janos want Jon to assassinate the King-Beyond-the-Wall. Meanwhile, King Stannis Baratheon sails to Eastwatch-by-the-Sea with a host of over 1,000 mounted soldiers. Accompanied by Cotter Pyke and his rangers from Eastwatch, they travel along ranger roads beyond the Wall. They take Mance Rayder's host in the flank as it besieges Castle Black. Mance's scouts warn him of the approaching rangers and as they emerge from the fringes of the wood, his free folk fly to meet them. The rangers are only scouts, a screen intended to draw in the wildlings, and they scatter back into the trees before Mance's wildlings and Harma Dogshead's raiders can slaughter them. At this crucial point, Melisandre destroys Orell's eagle that Varamyr Sixskins uses for scouting. The trumpets blow all around and three columns of heavy horse emerge. One smashes into Harma's raiders, who have no time to regroup and meet them, while the second drives into the flanks of Tormund Giantsbane's spearmen. The third is shattered by the giants on their mammoths, but the other two are able to close in around them like pincers. On the eastern edge of the camps, archers loosen fire arrows at the tents and camps of the wildlings. The wildling host breaks and runs as more men emerge from the trees. In the ensuing battle, Harma Dogshead is slain and the entire wildling force is either captured or routed with over a thousand wildlings killed. Mance is captured and most of his lieutenants are killed or captured, with the exception of Tormund Giantsbane and Varamyr Sixskins."
Fall of Moat Cailin;300;29;Joffrey/Tommen Baratheon;Balon/Euron Greyjoy;Bolton;;;;Greyjoy;;;;win;siege;0;0;;;Ramsey Bolton;;0;Moat Cailin;20.10752;14.80408;The North;"To allow the passage of his army without taking significant casualties, Lord Roose Bolton assigns his legitimized bastard son, Ramsay, with the task of capturing Moat Cailin from the north, where it is more vulnerable. The Ryswells and Dustins surprise and burn the remaining longships of the Iron Fleet in the Fever River. Ramsay Bolton gathers a large force of northerners, including Boltons, Hornwoods, and Cerwyns, as well three hundred Umber spearmen and a hundred archers led by Hother Whoresbane. Ramsay's force is to rendezvous with the Ryswells and Dustins and then take the fortress.[9] After Ramsay arrives, one of Lord Rodrik Ryswell's sons, Roger or Rickard, states the ironborn have withstood three northern attacks already. Ramsay sends his servant ""Reek"", actually the traumatized Theon Greyjoy, to the castle ""disguised"" as Theon, the son of Lord Balon Greyjoy and the garrison's prince. Theon is to offer the garrison terms of surrender: if the ironborn lay down their weapons and come to the Bolton camp unarmed, Ramsay will feed them and send them home to the Iron Islands. Theon is nearly struck by a crannogmen's arrow while traveling to the ruins; blood-blooms flourish among nearby corpses. Once inside Moat Cailin, Theon discovers the garrison has been weakened by poisoned arrows and contaminated water. The cellar's vaults have flooded, so corpses are now left where they fall. All of the ironborn within the Children's Tower have died, save two cannibals eating the corpses, who were then executed by Dagon Codd. The nominal commander of the garrison, Ralf Kenning, is now incapacitated and near death on part of a poisoned arrow. Theon puts him out of his misery by slitting his throat before offering his terms to the leaderless remaining ironborn, many of whom are from the ill-regarded House Codd.  Ramsay has the surrendering ironborn flayed and displayed on pikes. Dagon Codd is opposed to the plan and distrusts the Boltons. However, he is killed with an axe to the head by Adrack Humble, who is then convinced by Theon to accept the terms on behalf of the other soldiers. Theon learns there are a mere 65 ironborn left—18 at the Drunkard's Tower and 47 at the Gatehouse Tower—and only 58 of them are combat capable. The fortress is defensible enough that the defenders could have inflicted three to one casualties on the attackers if Ramsay tried to take the position by storm, however. The 58 able-bodied men carry out five who cannot walk, while leaving two who are near death to die, as there is no hope for them. They follow the directions and lay down their weapons before the Bolton forces. Before allowing them to travel to the Stony Shore to seek transport, however, Ramsay reneges on the deal and has all 63 of the remaining ironborn flayed alive. He then puts their still-bleeding bodies upon pikes along the causeway"
